,dataset,1Pauc,1mAauc,1Pamf1,1mAamf1,1Paap,1mAaap,2Pauc_mean,2Pauc_std,2Mauc_mean,2Mauc_std,2Pamf1_mean,2Pamf1_std,2Mamf1_mean,2Mamf1_std,2Paap_mean,2Paap_std,2Maap_mean,2Maap_std
0,13_fraud.npz,0.9511938371630344,0.9496499359679069,0.21224117305941617,0.26894217445621477,0.10211783296680267,0.25364877303329564,0.8802708985510506,0.013551492811688293,0.8852659193856457,0.024318634518492106,0.04318033080936021,0.00983837480539014,0.11968092766819835,0.01920903477208003,0.004971275621606866,0.007771606426740417,0.062082773166524295,0.04725304974928164
1,22_magic.gamma.npz,0.7432501431681998,0.7511823622403766,0.38138019865808026,0.38198420158850593,0.6492273757352058,0.6269408430704486,0.6830588021035385,0.005068330506986209,0.6907786959101191,0.009892335952295916,0.4303324325615992,0.025607344324235465,0.4049015188414743,0.03380935182400456,0.33786685222113677,0.027909492389132987,0.4150453719197095,0.020654736032145612
2,32_shuttle.npz,0.970384220182427,0.9962714159332496,0.763659238363157,0.9421805920566436,0.4573910350282656,0.9767212620508228,0.9710417359700145,0.0017836258773333584,0.98404421527964,0.0029766542618823257,0.7543737804468404,0.005655210964581288,0.9227689576510221,0.006934714407038706,0.6115514274941956,0.021148353227244964,0.8744768359175279,0.014634297437331514
3,12_fault.npz,0.6165288200580291,0.5921699298306468,0.2991812332125615,0.2879367403913796,0.2468429544324398,0.18856389429335302,0.5584564214638253,0.008519683923117898,0.5343012220271082,0.019569628536453155,0.2870616038272834,0.018203491323936394,0.2684493306595697,0.005774461954779186,0.10261031497596182,0.02804151366353366,0.11867658460948208,0.0630090706063449
4,3_backdoor.npz,0.8278143072157048,0.7963627150883898,0.18758408948394545,0.13718909086808337,0.03145092879437844,-0.000959425979465097,0.8177802390511791,0.0038947324063869793,0.8601472149153168,0.008051805100805774,0.22737564786414227,0.06030581787678815,0.305727541429864,0.04197692552480453,0.206765452919548,0.19023283059024837,0.21292066835730888,0.1881489421996924
5,5_campaign.npz,0.6755001217105139,0.6914180023766573,0.21847089661546226,0.2390636736702185,0.2791669141119959,0.3269413581662518,0.634578248139349,0.006828976496046438,0.6452957978079893,0.00449655776064831,0.19669495169622267,0.006578932768431603,0.2148263379443581,0.005071073590071786,0.08830510934596839,0.0189032379910185,0.10261579231234896,0.023796337269484116
6,30_satellite.npz,0.7371628151781237,0.7553987310028936,0.42121183072823226,0.45025384557096315,0.5424053124483945,0.7001695048215593,0.691321632564104,0.011885099704766422,0.7001508541631007,0.00752867260908101,0.38576100634374544,0.022950982352426843,0.4012527647195071,0.013807141522263412,0.39876136635622733,0.05965915157534445,0.44832901718579654,0.05010496235490158
7,38_thyroid.npz,0.9473881109581554,0.9744203514863494,0.3220606753166067,0.5339642689466011,0.32644783936906496,0.35972247234579985,0.8041554650082763,0.033740097297826586,0.8104200103000773,0.03443052186251041,0.3056985180666786,0.035991769080983727,0.5409429767033278,0.11279371798229558,0.11964161274634419,0.07942891658082724,0.45882261073942665,0.20653777851106553
8,46_WPBC.npz,0.45300831337184716,0.4831618993941102,0.19670664041524966,0.2109744560075686,-0.12932211450423517,-0.13305217051145446,0.48580645161290326,0.05836083072019675,0.5706451612903226,0.05492828910054504,0.24192256178079607,0.0644356615703258,0.2518290837124596,0.059875990407861804,-0.03283777095067422,0.20890352448389402,0.09181063321385899,0.2307444535059561
9,21_Lymphography.npz,0.994131455399061,0.9953051643192489,0.8262910798122066,0.8511066398390341,0.9363067292644757,0.8928794992175273,0.7965517241379311,0.24221530108739234,0.8965517241379309,0.1983882739812762,0.8137931034482758,0.3724137931034482,1.0,0.0,0.7931034482758621,0.4137931034482759,1.0,0.0
10,11_donors.npz,0.7665718882569412,0.7819653155367581,0.18590239365637057,0.19821757284757086,0.15275676693845533,0.08208146204648951,0.8263874475932222,0.001761598110988776,0.8728715707816497,0.0011846352796340553,0.29837076673417495,0.0015317563751054732,0.3311447081870044,0.001650740890374926,0.16441554904406105,0.003501799669351897,0.18305745183524208,0.006453114605832863
11,43_WDBC.npz,0.9988795518207283,0.9980392156862745,0.9510470855008669,0.8971988795518208,0.9507615268329556,0.9654474011826953,0.9485915492957746,0.09933322638031242,0.9485915492957746,0.09933322638031242,0.8903286384976525,0.1411419718858312,0.8903286384976525,0.1411419718858312,0.7943661971830985,0.299760203044864,0.7943661971830985,0.299760203044864
12,15_Hepatitis.npz,0.669345579793341,0.6549942594718714,0.2763455450022614,0.2958285495598928,0.003798599665419408,-0.09694081909925767,0.40476190476190477,0.0412189649631022,0.4778388278388279,0.13410846219918893,0.3576911976911977,0.0948882763397848,0.38717790146361575,0.11354153402599594,-0.12722832722832722,0.1254875651497082,-0.0700854700854701,0.16438431536925674
13,37_Stamps.npz,0.8587535233322894,0.8839127257542541,0.40063672481385004,0.4615437581766852,0.1492475964148206,0.17743256367484786,0.6406008410767797,0.06411540204607212,0.7226020498098764,0.06679936277242769,0.3232243499826789,0.12154544751382902,0.4956800153838758,0.15715411649205263,0.23005155102760297,0.22601153852402553,0.554858531461236,0.220922527117836
14,45_wine.npz,0.9890756302521008,0.9857142857142857,0.8451380552220887,0.8029029793735677,0.8447939175670268,0.855204081632653,0.8871376811594203,0.1384129105084534,0.9748188405797101,0.030596104541370767,0.7973429951690821,0.26471975347040133,0.8638095238095238,0.1842641798664608,0.7284420289855073,0.42097660659189434,0.7291666666666666,0.4195731958391368
15,9_census.npz,0.5778729297621497,0.579314639798082,0.09706983637267225,0.09421942999722718,-0.01368669683544058,-0.014257396535484603,0.6185600541359013,0.001123448123121693,0.6852776509157165,0.004644116875675507,0.10725083626499043,0.0008653134029741418,0.13748143744943098,0.0017040173058997883,0.026138770949784968,0.004847512164305428,0.0446778325592108,0.004831317896084903
16,31_satimage-2.npz,0.9379343050627562,0.9935671250110573,0.27947259890735116,0.7010049933289703,0.4634923394642591,0.5668745620087978,0.7758914032617799,0.086196435114565,0.9485971968542481,0.027703007035880335,0.36648445559946996,0.21657702411591132,0.7952269620890331,0.04644756230477232,0.396928337138666,0.3374525542740199,0.6822844515816986,0.06331968976399302
17,41_Waveform.npz,0.7816856117259947,0.7835148070595275,0.11605870534505053,0.13137070281418786,0.09137413791638156,0.11919884184108039,0.6314110791869176,0.08585447880500592,0.5325454024686055,0.029341516361061165,0.13394244519136328,0.05015133305069861,0.1100945318674017,0.0064728556635090416,-0.02991326763513332,2.1924668535424843e-05,-0.02991326763513332,2.1924668535424843e-05
18,2_annthyroid.npz,0.7524626058111429,0.7784664702425298,0.27742194173013596,0.2789522854724497,0.2754348137807189,0.36284672671376983,0.6750386354895604,0.010030480108076114,0.6469419602064272,0.0262369215546188,0.2069156256224584,0.01307718215144013,0.22018942267814828,0.03532238519685648,0.056704548445865297,0.030040982546425083,0.1131809111268118,0.035485721295015815
19,33_skin.npz,0.6147431902558561,0.6467379930705189,0.32175427397002,0.3555748663470599,-0.13653974272641414,-0.20269300146961594,0.7375335694837707,0.003043271879214158,0.8459603826324276,0.0010355439604440304,0.6839089089935539,0.004013686714890801,0.7061426194082927,0.10278387825714819,0.6338061000460844,0.005035859719051691,0.3213802195149873,0.31096795979642394
20,35_SpamBase.npz,0.5718443015357242,0.6077626827300758,0.38457561451828937,0.30558601819635073,0.18552117575992835,0.15270675610932546,0.5711208808490935,0.015807106664516905,0.6080577207855207,0.00566143891112306,0.2876865982160538,0.0026278831826844896,0.3181476827126426,0.008397932473049116,0.42667852086284386,0.023520999035884862,0.41574004920122676,0.021445511656494207
21,27_PageBlocks.npz,0.8820545871430694,0.8983749141680019,0.4718731769533532,0.46214809440536814,0.5885831208234054,0.5751408442783024,0.8009856501034565,0.019368270370504235,0.8150408569387787,0.02512921322449288,0.3769406252063374,0.02743711250894949,0.5262993249262686,0.054516879999089114,0.2713257398385588,0.16402879363323714,0.38904367477735036,0.14057815495899367
22,17_InternetAds.npz,0.7378074495293029,0.7316448549817708,0.37885466589334227,0.35352929587910814,0.5358969595654358,0.5193143059780106,0.6802098984585995,0.02959561127310969,0.6367401513894192,0.01609435340847094,0.4369784184188473,0.06652106464135589,0.3906776028702975,0.055753810112475446,0.34754837239400865,0.3295576675332456,0.47321934956115086,0.2689970567697435
23,4_breastw.npz,0.9634268159372762,0.9812657846130649,0.8247519671570304,0.898269511996967,0.8209454953406672,0.9195280176662854,0.9183042020733272,0.02735695606507581,0.937584079499272,0.013597099871663944,0.8371363266200973,0.05633633696495455,0.8755600315202763,0.026032596901078852,0.7857776251004722,0.1251751788378076,0.8691977194541485,0.08138424316552874
24,10_cover.npz,0.8694690521656443,0.8671334900201793,0.10218963724097542,0.0795820179355452,0.07093102961409002,0.09454906493785677,0.8051102810252534,0.01003082479664213,0.8187224599797638,0.006360358415506254,0.6083781420276541,0.012753312856789843,0.6358048059408029,0.019916366462555797,0.36756438925900825,0.043413112742010755,0.47741406343517967,0.04342591267945288
25,36_speech.npz,0.494616167326173,0.5002916902204635,0.035317418213969935,0.03277375946173255,0.02482532518572951,0.017917147686093204,0.4738037135278515,0.027213206304901563,0.4878390804597702,0.018178683295484097,0.08435038604041283,0.04481717420735126,0.07172303427530097,0.0008448052537804656,0.08555106285305222,0.12514279889916852,-0.01682758620689655,0.0005517241379310339
26,1_ALOI.npz,0.6729509758805492,0.6229977619881185,0.12315950083568283,0.0510306401058093,0.18696947423348595,0.09003905985283721,0.6206964664019125,0.00729235644971424,0.6687610299655227,0.01325280011131112,0.5700418486864575,0.017988595029747336,0.6214044249983167,0.027218602280420397,0.7012655839876631,0.03340578772471982,0.7737702653694127,0.03208370442226239
27,8_celeba.npz,0.6322021819107063,0.6362935848474012,0.06259290983188005,0.06339503255212262,0.028772609145571722,0.03309572377002615,0.6136269245266759,0.004240839423428361,0.6698810212144097,0.00946044202343955,0.04657825293150385,0.0018001143882118307,0.06924708666213689,0.002533122357537859,0.024604644753293645,0.00834673279055414,0.04367994817910177,0.011494431210359568
28,16_http.npz,0.9478289185807985,0.9998828298980627,0.12266584307691068,0.9791606862694627,0.07083849168779302,0.9062038071491649,0.9914795152693324,0.0013573479068275432,0.9985314024918722,0.0007045061552537548,0.5534881382265524,0.07808595213881193,0.84103220018899,0.042741370916307315,0.3439322693137115,0.2274831721017199,0.7839947144851351,0.10002070269240432
29,7_Cardiotocography.npz,0.6711139005791908,0.6955758573273887,0.29902339270697953,0.31040944186919267,0.25419032806061065,0.3788246625928645,0.5952775227517849,0.03933518540266825,0.610557333309564,0.03848672921123016,0.26049598736775853,0.08076501151829277,0.25545332429156387,0.05737172543417117,0.25751927150065157,0.10135249711698008,0.30347662911753404,0.1004145460394948
30,19_landsat.npz,0.5653209411721806,0.551009003720942,0.19413913844456027,0.1846214182870112,0.0862303188146537,-0.04310715592739054,0.5447613653245436,0.011469646818678446,0.549982994962816,0.0038494945561418346,0.19790685929613386,0.004955312610589848,0.19929516722313703,0.0031801878397129256,-0.005266960229126771,0.028282243376410714,0.05440950124192301,0.03985247457281734
31,18_Ionosphere.npz,0.8657142857142857,0.8770899470899471,0.6961038961038962,0.6796428571428571,0.92925985991604,0.9167660500990735,0.8025641025641026,0.044944328839849064,0.8262735042735043,0.05924830711854284,0.6126046511627907,0.1002878674822339,0.6523322525619492,0.10831888312126497,0.5755850067144503,0.2131601596126567,0.584619199024933,0.16383190290574143
32,42_WBC.npz,0.9399061032863849,0.9812206572769954,0.4515984797674938,0.7144686299615878,0.22388721216186006,0.7255084208957449,0.6358803986710964,0.12121306963094809,0.7857696566998893,0.18829036972626403,0.31707340010633683,0.2409483806092126,0.5222057287371488,0.3409491870941062,0.16234772978959025,0.3054121521354525,0.26705426356589146,0.3847166197737914
33,20_letter.npz,0.8758666666666667,0.8843200000000001,0.32545587162655,0.35584415584415585,0.19358914235104133,0.31927925643450444,0.6916666666666667,0.06662498697102229,0.7103333333333334,0.07600730959000662,0.33056580382510337,0.12028532134325719,0.3748674725287115,0.13265233400863355,0.11239048629389185,0.2925341139918515,0.09525548090253973,0.11125437452879582
34,26_optdigits.npz,0.6214232135807343,0.6281576523226741,0.07311286837412054,0.05716293355381914,0.042516039893987466,0.05092334505657341,0.6156014221433008,0.02249631099603632,0.6167618396739817,0.04404276235779331,0.1483006785059184,0.06886160962427057,0.19115540930770517,0.05145786413066512,0.12135436681560452,0.18888557579896165,0.022910886873440915,0.10505178361855015
35,6_cardio.npz,0.8689096402087338,0.9275405108486678,0.40112410807274856,0.5059719926276387,0.3305691011356537,0.5755578718921888,0.7454078549848943,0.05206341949176052,0.7655409293626817,0.016597935816898567,0.4036116100309702,0.037104636972350315,0.5118168275653806,0.0548897942406277,0.21281596192275778,0.24571333919841384,0.28006021687650806,0.19064335065685684
36,44_Wilt.npz,0.6268318728388975,0.5701335853446762,0.11221596096505161,0.1000428239069478,-0.05133023630729357,-0.05520551004878712,0.6064126496677134,0.013123558037830142,0.7019978613277505,0.033394601971746186,0.2530098938713822,0.12150814243000001,0.2881327025875786,0.032571924779032,0.26582460641769423,0.2666616459141189,0.08222520271374309,0.11697105016682291
37,23_mammography.npz,0.8596164409608518,0.8674539961549026,0.22483488314304026,0.25312733095903817,0.36990766968181993,0.3547672692878866,0.7233787436819474,0.018416105454528937,0.6733144315638595,0.027517356790878526,0.11897138943898496,0.007547866813013608,0.19500021600656317,0.014277112783990372,0.05702487841948215,0.06327607037593132,0.097174166254021,0.0971256905816125
38,47_yeast.npz,0.4380050833873368,0.41917353569979343,0.2659537564827862,0.2566584528068735,-0.08527343964690429,-0.05824415913676849,0.528233745897445,0.011114391873507854,0.5759666654171188,0.032819165419307,0.2599141154326673,0.003231199454287212,0.26269408212805667,0.00831049296880949,0.05656132817634778,0.031129594608688454,0.12389371084873532,0.13136321041517446
39,28_pendigits.npz,0.8399097179258037,0.9440472644225996,0.1600309444733437,0.3073924440096485,0.25244035557061273,0.28954361080777397,0.7511493439829039,0.03521946960730552,0.7798876653289658,0.04839411849633566,0.15983581341153413,0.021407425992731592,0.3913104720208125,0.056191951394262855,0.04694637636439173,0.045841498341657905,0.26762174783610837,0.11654030599993474
40,39_vertebral.npz,0.39666666666666667,0.3816666666666667,0.2106038291605302,0.16326530612244897,-0.12772390576088727,-0.12581914385612536,0.5547619047619048,0.04971574528052643,0.46428571428571425,0.05270462766947299,0.7658874458874458,0.08787533313747511,0.6289424860853432,0.17000752282925538,0.8888888888888887,0.060367564820341446,0.08698412698412696,0.2713244021774142
41,40_vowels.npz,0.948719772403983,0.9540540540540541,0.3902766514670105,0.4661389077865051,0.45880181353177024,0.44902734984587317,0.7158703717725449,0.11428690132115965,0.6840021705661139,0.050401275169304725,0.29327620011485056,0.11369234089645586,0.3552864849296583,0.0661358817475718,-0.007896977432602481,0.045183507689725115,0.21902778368694173,0.1803804047489969
42,14_glass.npz,0.8531165311653117,0.8249322493224932,0.25916601101494885,0.20012670256572693,0.07158041897879297,0.07158041897879297,0.5329268292682927,0.09122733760617097,0.5853658536585366,0.13049350340873594,0.36533162173727,0.19754339528647735,0.5390243902439024,0.15135058573294435,0.11341463414634143,0.3123380008416841,0.42804878048780487,0.3794505875131425
43,24_mnist.npz,0.8132596593613542,0.8403694046066926,0.30846789855038603,0.34156313598523214,0.29997380822242825,0.3933165805273699,0.6931177935393531,0.017705079853219216,0.7114149587045724,0.02902034458336152,0.626665326486399,0.049865228759611975,0.43889431102176424,0.11158024798213469,0.6101807985025124,0.10330713037670045,0.23477175285139698,0.27450965968597335
44,29_Pima.npz,0.6201902985074628,0.6372238805970148,0.28504504504504513,0.2994341463414635,0.23259233535196,0.25431927200360155,0.5474800838574424,0.05687695882718183,0.5463088749126485,0.02203351068484094,0.2740962974596354,0.020197526253348735,0.2641292172545466,0.007775918401218718,0.09904570356686662,0.16302675965655902,0.100413014059207,0.0637917422124414
45,34_smtp.npz,0.9075142442655006,0.9133514146150019,0.06058663009832893,0.4072205207751746,-0.0003153711918928579,0.4705467501258311,0.9268209155104579,0.061636346644587024,0.9156995281234215,0.05257209922919319,0.11149268042823776,0.08283764040225357,0.36116148177730867,0.09037107158370582,-0.0003153711920322601,6.630390144584699e-09,0.16807104839682924,0.20542202891664718
46,25_musk.npz,0.7997148867370177,0.9445107004398394,0.1694511990715767,0.399237903748865,0.08729367532003526,0.1283986811674939,0.8346609567764267,0.06631117931097356,0.873369574864649,0.06144908245404313,0.4619581800101217,0.1687044658054671,0.6792265241418406,0.10556512196408789,0.317618161016965,0.42267489422428184,0.25584515157823057,0.12453315031031642
